Page,ResponseTime,Time,Error,Status,Error Screenshot File Location,Bandwidth
Bajaj Allianz RBL Api Response,3.12,0:4: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.47,0:19: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.48,0:34: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,9.63,0:49: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.23,1:4: 22 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.19,1:19: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.92,1:34: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.66,1:49: 11 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.08,2:4: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.52,2:19: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.57,2:34: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.92,2:49: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.01,3:4: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.81,3:19: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,6.96,3:34: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.64,3:49: 11 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,7.97,4:4: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.81,4:19: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.96,4:34: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.61,4:49: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.45,5:4: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.86,7:49: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.96,8:4: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,6.97,8:19: 22 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.52,8:34: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,12.05,8:49: 28 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.02,9:4: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.53,9:19: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.19,9:34: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.07,9:49: 22 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.62,10:4: 22 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.02,10:19: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.47,10:34: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,7.86,10:49: 24 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,6.94,11:4: 45 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.81,11:19: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.20,11:34: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.48,11:49: 26 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.40,12:4: 22 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.02,12:19: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.76,12:34: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.42,12:49: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.42,13:4: 24 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.84,13:19: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.67,13:34: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,1.79,13:49: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.06,14:4: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.51,14:19: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,8.05,14:34: 25 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.12,14:49: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.83,15:4: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.40,15:19: 22 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,7.99,15:34: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.54,15:49: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.07,16:4: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.81,16:19: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.37,16:34: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,8.53,16:49: 22 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.74,17:4: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.70,17:19: 11 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.36,17:34: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.55,17:49: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.08,18:4: 24 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.09,18:19: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,6.67,18:34: 27 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.58,18:49: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.36,19:4: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.55,19:19: 31 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.35,19:34: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.57,19:49: 30 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,9.78,20:4: 28 ,null,PASS,=HYPERLINK("null"),,
