Page,ResponseTime,Time,Error,Status,Error Screenshot File Location,Bandwidth
Bajaj Allianz RBL Api Response,5.37,0:4: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.86,0:19: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.22,0:34: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.31,0:49: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.98,1:4: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.70,1:19: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,8.09,1:34: 27 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.30,1:49: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.24,2:4: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.86,2:19: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.37,2:34: 10 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.12,2:49: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.13,3:4: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.33,3:19: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.76,3:34: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.42,3:49: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.82,4:4: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.20,4:19: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,12.35,4:34: 23 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.83,4:49: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.16,5:4: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.33,5:19: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.91,5:34: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.26,5:49: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.53,6:4: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.81,6:19: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.47,6:34: 10 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.44,6:49: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.99,7:4: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,85.95,7:20: 37 ,null,PASS,=HYPERLINK("/home/apmosys/Desktop/NodeConnection/workspace/Headless/Bajaj_RBL/Logs/2022/June/19/Bajaj Allianz RBL Url Api/Bajaj Allianz RBL Api Response_7_19_49.png"),,
Bajaj Allianz RBL Api Response,3.58,7:34: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.13,7:49: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.28,8:4: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.04,8:19: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.61,8:34: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,8.47,8:49: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.20,9:4: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.82,9:19: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.17,9:34: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.08,9:49: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.17,10:4: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.29,10:19: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,1.79,10:34: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,7.83,10:49: 23 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.13,11:4: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.03,11:19: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.95,11:34: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.99,11:49: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.29,12:4: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.21,12:19: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.85,12:34: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.84,12:49: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.09,13:4: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,8.61,13:19: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.70,13:34: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.75,13:49: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,6.71,14:4: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.38,14:19: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.79,14:34: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.60,14:49: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.93,15:4: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.74,15:19: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.75,15:34: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.26,15:49: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.12,16:4: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,6.47,16:19: 24 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.96,16:34: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.88,16:49: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.47,17:4: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.62,17:19: 15 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.10,17:34: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.65,17:49: 24 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.89,18:4: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.41,18:19: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.76,18:34: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,11.07,18:49: 23 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.02,19:4: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,7.82,19:19: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,6.55,19:34: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.72,19:49: 12 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.89,20:4: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,7.74,20:19: 27 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,15.23,20:34: 29 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.00,20:49: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.89,21:4: 22 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.44,21:19: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,8.74,21:34: 26 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.86,21:49: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.06,22:4: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.10,22:19: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.09,22:34: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.80,22:49: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.07,23:4: 17 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.01,23:19: 24 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.86,23:34: 21 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.26,23:49: 18 ,null,PASS,=HYPERLINK("null"),,
